Length of a circle,Length of a circle
Count of circles,Count of circles
Sound on click,Sound on click
Sound on circle,Sound on circle
Save history,Save history
History,History
About,About
Back,Back
Today: ,Today: 
This week: ,This week: 
This month: ,This month: 
This year: ,This year: 
Overall: ,Overall: 
MENU,MENU
RESET,RESET
"
This is a simple counter app.
[url=https://erdemrodionovich.github.io/erhi/privacy.html]Privacy policy[/url]
Support by email: [url=mailto:erhi.app@gmail.com]erhi.app@gmail.com[/url]
 ","
This is a simple counter app.
[url=https://erdemrodionovich.github.io/erhi/privacy.html]Privacy policy[/url]
Support by email: [url=mailto:erhi.app@gmail.com]erhi.app@gmail.com[/url]
 "
Language,Language
Vibrate on click,Vibrate on click
Vibrate on circle,Vibrate on circle
